"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11800,"Hou@NO 08:00PM ET",59.906,"Hou"
"PF/C","Karl-Anthony Towns",10400,"Min@Mia 08:00PM ET",48.418,"Min"
"PF/C","Anthony Davis",10200,"Hou@NO 08:00PM ET",53.142,"NO"
"PG/SF","Giannis Antetokounmpo",9900,"Mil@LAL 10:30PM ET",48.597,"Mil"
"PF/C","DeMarcus Cousins",9800,"Hou@NO 08:00PM ET",51.678,"NO"
"PG","John Wall",9500,"Chi@Was 07:00PM ET",49.083,"Was"
"SG/SF","Jimmy Butler",8800,"Chi@Was 07:00PM ET",42.500,"Chi"
"PG","Isaiah Thomas",8300,"Bos@Bkn 07:30PM ET",43.773,"Bos"
"SG","Bradley Beal",8200,"Chi@Was 07:00PM ET",35.710,"Was"
"C","Hassan Whiteside",8100,"Min@Mia 08:00PM ET",41.183,"Mia"
"SG","DeMar DeRozan",8000,"Tor@Det 07:30PM ET",40.867,"Tor"
"PF","Dario Saric",7900,"Dal@Phi 07:00PM ET",25.306,"Phi"
"PG","Elfrid Payton",7800,"Orl@Pho 10:00PM ET",29.674,"Orl"
"PG","Ricky Rubio",7700,"Min@Mia 08:00PM ET",31.738,"Min"
"PG","Kyle Lowry",7500,"Tor@Det 07:30PM ET",42.825,"Tor"
"C","Nikola Vucevic",7400,"Orl@Pho 10:00PM ET",35.097,"Orl"
"PF/C","Julius Randle",7400,"Mil@LAL 10:30PM ET",31.258,"LAL"
"PG","Goran Dragic",7300,"Min@Mia 08:00PM ET",36.186,"Mia"
"SG","Devin Booker",7200,"Orl@Pho 10:00PM ET",31.354,"Pho"
"C","Andre Drummond",7100,"Tor@Det 07:30PM ET",38.903,"Det"
"PG/SG","Eric Bledsoe",7000,"Orl@Pho 10:00PM ET",39.621,"Pho"
"SF/PF","Robert Covington",6900,"Dal@Phi 07:00PM ET",28.954,"Phi"
"C","Brook Lopez",6800,"Bos@Bkn 07:30PM ET",34.885,"Bkn"
"SG/SF","Dion Waiters",6700,"Min@Mia 08:00PM ET",29.472,"Mia"
"SF","Andrew Wiggins",6700,"Min@Mia 08:00PM ET",33.787,"Min"
"PG","Jrue Holiday",6700,"Hou@NO 08:00PM ET",35.594,"NO"
"SF/PF","T.J. Warren",6600,"Orl@Pho 10:00PM ET",24.159,"Pho"
"PG","Rajon Rondo",6500,"Chi@Was 07:00PM ET",25.478,"Chi"
"SF/PF","Otto Porter",6500,"Chi@Was 07:00PM ET",30.082,"Was"
"PG","D'Angelo Russell",6500,"Mil@LAL 10:30PM ET",29.558,"LAL"
"SF","Khris Middleton",6500,"Mil@LAL 10:30PM ET",27.350,"Mil"
"PF/C","Dirk Nowitzki",6400,"Dal@Phi 07:00PM ET",28.274,"Dal"
"SF/PF","Harrison Barnes",6300,"Dal@Phi 07:00PM ET",30.746,"Dal"
"C","Alan Williams",6300,"Orl@Pho 10:00PM ET",16.691,"Pho"
"SG","Dwyane Wade",6200,"Chi@Was 07:00PM ET",33.693,"Chi"
"C","Al Horford",6100,"Bos@Bkn 07:30PM ET",34.023,"Bos"
"PF","Markieff Morris",6100,"Chi@Was 07:00PM ET",28.642,"Was"
"PG","Jeremy Lin",6000,"Bos@Bkn 07:30PM ET",28.533,"Bkn"
"SG","Avery Bradley",6000,"Bos@Bkn 07:30PM ET",31.682,"Bos"
"PF/C","Serge Ibaka",6000,"Tor@Det 07:30PM ET",29.649,"Tor"
"PG/SG","Jordan Clarkson",6000,"Mil@LAL 10:30PM ET",23.871,"LAL"
"SF/PF","Tobias Harris",5900,"Tor@Det 07:30PM ET",27.813,"Det"
"SG","Seth Curry",5900,"Dal@Phi 07:00PM ET",23.167,"Dal"
"C","Greg Monroe",5900,"Mil@LAL 10:30PM ET",26.455,"Mil"
"PG/SG","Lou Williams",5800,"Hou@NO 08:00PM ET",28.438,"Hou"
"SG","Evan Fournier",5800,"Orl@Pho 10:00PM ET",26.873,"Orl"
"PG","Tyler Ulis",5700,"Orl@Pho 10:00PM ET",10.500,"Pho"
"PF","Aaron Gordon",5700,"Orl@Pho 10:00PM ET",22.866,"Orl"
"PF/C","James Johnson",5600,"Min@Mia 08:00PM ET",26.919,"Mia"
