"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12700,"OKC@Ind 07:00PM ET",64.082,"OKC"
"PF/C","DeMarcus Cousins",10900,"Chi@Sac 10:30PM ET",53.940,"Sac"
"PG","John Wall",10500,"Cle@Was 07:00PM ET",48.995,"Was"
"SF","LeBron James",10400,"Cle@Was 07:00PM ET",52.348,"Cle"
"C","Anthony Davis",10300,"Pho@NO 08:00PM ET",53.745,"NO"
"PF/C","Karl-Anthony Towns",10100,"Mia@Min 08:00PM ET",47.436,"Min"
"SG/SF","Jimmy Butler",9100,"Chi@Sac 10:30PM ET",43.740,"Chi"
"C","Nikola Jokic",9000,"Dal@Den 09:00PM ET",35.314,"Den"
"PG","Kyle Lowry",8900,"LAC@Tor 07:30PM ET",43.755,"Tor"
"PF","Blake Griffin",8800,"LAC@Tor 07:30PM ET",41.702,"LAC"
"SF","Kawhi Leonard",8400,"SA@Mem 09:30PM ET",42.842,"SA"
"C","Andre Drummond",8300,"Phi@Det 07:30PM ET",38.940,"Det"
"PF/C","Kevin Love",8200,"Cle@Was 07:00PM ET",40.220,"Cle"
"C","Hassan Whiteside",8100,"Mia@Min 08:00PM ET",40.924,"Mia"
"C","Joel Embiid",8000,"Phi@Det 07:30PM ET",38.992,"Phi"
"PG","Kyrie Irving",8000,"Cle@Was 07:00PM ET",40.285,"Cle"
"PG","Chris Paul",8000,"LAC@Tor 07:30PM ET",43.917,"LAC"
"PG","Jrue Holiday",7900,"Pho@NO 08:00PM ET",35.083,"NO"
"PG","Eric Bledsoe",7900,"Pho@NO 08:00PM ET",39.956,"Pho"
"SF/PF","Paul George",7800,"OKC@Ind 07:00PM ET",38.901,"Ind"
"SF/PF","Carmelo Anthony",7700,"LAL@NY 07:00PM ET",37.578,"NY"
"SG","DeMar DeRozan",7600,"LAC@Tor 07:30PM ET",42.106,"Tor"
"SG","Dwyane Wade",7500,"Chi@Sac 10:30PM ET",34.163,"Chi"
"SF","Gordon Hayward",7400,"Uta@Atl 07:30PM ET",37.011,"Uta"
"C","Marc Gasol",7300,"SA@Mem 09:30PM ET",39.690,"Mem"
"PG","Goran Dragic",7200,"Mia@Min 08:00PM ET",36.145,"Mia"
"C","Rudy Gobert",7100,"Uta@Atl 07:30PM ET",36.745,"Uta"
"SG/SF","Andrew Wiggins",7100,"Mia@Min 08:00PM ET",32.750,"Min"
"PG","Jeff Teague",7100,"OKC@Ind 07:00PM ET",36.510,"Ind"
"PG","D'Angelo Russell",7000,"LAL@NY 07:00PM ET",29.743,"LAL"
"C","DeAndre Jordan",7000,"LAC@Tor 07:30PM ET",35.451,"LAC"
"PF","Paul Millsap",6900,"Uta@Atl 07:30PM ET",38.438,"Atl"
"SG/SF","Dion Waiters",6900,"Mia@Min 08:00PM ET",28.556,"Mia"
"SG","Devin Booker",6900,"Pho@NO 08:00PM ET",31.465,"Pho"
"C","Dwight Howard",6800,"Uta@Atl 07:30PM ET",36.299,"Atl"
"SG","Bradley Beal",6800,"Cle@Was 07:00PM ET",33.728,"Was"
"PG","Brandon Jennings",6800,"LAL@NY 07:00PM ET",21.558,"NY"
"PG","Mike Conley",6700,"SA@Mem 09:30PM ET",36.530,"Mem"
"PF","Kristaps Porzingis",6700,"LAL@NY 07:00PM ET",35.063,"NY"
"PG","Ricky Rubio",6600,"Mia@Min 08:00PM ET",28.756,"Min"
"SF/PF","Markieff Morris",6500,"Cle@Was 07:00PM ET",28.770,"Was"
"C","Myles Turner",6400,"OKC@Ind 07:00PM ET",32.418,"Ind"
"SF/PF","Harrison Barnes",6300,"Dal@Den 09:00PM ET",31.400,"Dal"
"PF","Ersan Ilyasova",6300,"Phi@Det 07:30PM ET",27.635,"Phi"
"PF","LaMarcus Aldridge",6200,"SA@Mem 09:30PM ET",33.067,"SA"
"C","Marcin Gortat",6100,"Cle@Was 07:00PM ET",31.760,"Was"
"PG/SG","Austin Rivers",6100,"LAC@Tor 07:30PM ET",20.582,"LAC"
"PG","Yogi Ferrell",6000,"Dal@Den 09:00PM ET",16.786,"Dal"
"SF/PF","Wilson Chandler",6000,"Dal@Den 09:00PM ET",29.359,"Den"
"SF/PF","Otto Porter",6000,"Cle@Was 07:00PM ET",29.885,"Was"
"SG","Seth Curry",5900,"Dal@Den 09:00PM ET",21.837,"Dal"
"PG","Reggie Jackson",5900,"Phi@Det 07:30PM ET",28.517,"Det"
"SG","Lou Williams",5900,"LAL@NY 07:00PM ET",28.472,"LAL"
