"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"18424-9642","PG","Russell","Russell Westbrook","Westbrook","58.208333333333336","72","12900","OKC@DAL","OKC","DAL","","","",""
"18424-9488","SF","LeBron","LeBron James","James","48.819698449337125","66","10900","CLE@SA","CLE","SA","","","",""
"18424-15755","PF","Anthony","Anthony Davis","Davis","49.58260798799819","69","10800","NO@UTA","NO","UTA","","","",""
"18424-12362","C","DeMarcus","DeMarcus Cousins","Cousins","48.244119083180145","68","9400","NO@UTA","NO","UTA","GTD","Ankle","",""
"18424-9714","SG","DeMar","DeMar DeRozan","DeRozan","39.41818329782197","66","9200","ORL@TOR","TOR","ORL","","","",""
"18424-14498","PG","Kyrie","Kyrie Irving","Irving","38.58906173706055","64","9100","CLE@SA","CLE","SA","","","",""
"18424-14513","SF","Kawhi","Kawhi Leonard","Leonard","41.23384540264423","65","9100","CLE@SA","SA","CLE","","","",""
"18424-40203","C","Rudy","Rudy Gobert","Gobert","35.49444580078125","72","8700","NO@UTA","UTA","NO","","","",""
"18424-9535","PG","Kyle","Kyle Lowry","Lowry","39.5","56","8300","ORL@TOR","TOR","ORL","O","Wrist","",""
"18424-14514","C","Nikola","Nikola Vucevic","Vucevic","33.61969549005682","66","8200","ORL@TOR","ORL","TOR","","","",""
"18424-9575","PG","Mike","Mike Conley","Conley","34.767213915215166","61","7900","MEM@SAC","MEM","SAC","","","",""
"18424-12366","SF","Gordon","Gordon Hayward","Hayward","34.28484922466856","66","7800","NO@UTA","UTA","NO","GTD","Quadriceps","",""
"18424-9581","C","Marc","Marc Gasol","Gasol","36.35362177309783","69","7600","MEM@SAC","MEM","SAC","GTD","Foot","",""
"18424-9874","PF","Kevin","Kevin Love","Love","35.77450980392157","51","7600","CLE@SA","CLE","SA","","","",""
"18424-15557","C","Andre","Andre Drummond","Drummond","36.195834689670136","72","7600","DET@NY","DET","NY","","","",""
"18424-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","31.662500381469727","64","7300","CLE@SA","SA","CLE","","","",""
"18424-9663","PG","Jrue","Jrue Holiday","Holiday","32.88275777882543","58","7200","NO@UTA","NO","UTA","","","",""
"18424-19138","PG","Elfrid","Elfrid Payton","Payton","28.12876578553082","73","7100","ORL@TOR","ORL","TOR","","","",""
"18424-9508","SF","Carmelo","Carmelo Anthony","Anthony","34.74202827785326","69","7000","DET@NY","NY","DET","GTD","Knee","",""
"18424-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","32.44677340599798","62","6700","DET@NY","NY","DET","","","",""
"18424-23823","PF","Willie","Willie Cauley-Stein","Cauley-Stein","14.95000018495502","66","6100","MEM@SAC","SAC","MEM","","","",""
"18424-9703","PG","George","George Hill","Hill","27.98695705247962","46","6100","NO@UTA","UTA","NO","","","",""
"18424-9500","PF","Dirk","Dirk Nowitzki","Nowitzki","26.056521208389945","46","6000","OKC@DAL","DAL","OKC","","","",""
