Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
18347-15755,PF,Anthony,Anthony Davis,Davis,49.61515299,66,10900,MEM@NO,NO,MEM,,
18347-58462,C,Karl-Anthony,Karl-Anthony Towns,Towns,44.640579,69,10400,SA@MIN,MIN,SA,,
18347-9646,SF,Kevin,Kevin Durant,Durant,45.58474576,59,10100,GS@DAL,GS,DAL,O,Knee
18347-40199,SG,Giannis,Giannis Antetokounmpo,Antetokounmpo,45.38382497,68,10000,MIL@POR,MIL,POR,GTD,Ankle
18347-9524,PG,Stephen,Stephen Curry,Curry,40.54264562,68,9900,GS@DAL,GS,DAL,,
18347-14513,SF,Kawhi,Kawhi Leonard,Leonard,41.36612824,62,9400,SA@MIN,SA,MIN,,
18347-9560,PF,Blake,Blake Griffin,Griffin,39.53199951,50,9300,LAC@LAL,LAC,LAL,,
18347-20848,PG,Damian,Damian Lillard,Lillard,40.578125,64,9000,MIL@POR,POR,MIL,,
18347-9623,PG,Chris,Chris Paul,Paul,39.18600098,50,9000,LAC@LAL,LAC,LAL,,
18347-14528,SF,Jimmy,Jimmy Butler,Butler,40.87968826,64,8900,CHI@TOR,CHI,TOR,,
18347-12362,C,DeMarcus,DeMarcus Cousins,Cousins,47.91212047,66,8800,MEM@NO,NO,MEM,,
18347-12363,C,Hassan,Hassan Whiteside,Whiteside,38.42922927,65,8700,PHO@MIA,MIA,PHO,,
18347-9714,SG,DeMar,DeMar DeRozan,DeRozan,38.90317305,63,8600,CHI@TOR,TOR,CHI,,
18347-9535,PG,Kyle,Kyle Lowry,Lowry,39.5,56,8300,CHI@TOR,TOR,CHI,O,Wrist
18347-9575,PG,Mike,Mike Conley,Conley,34.99137931,58,8200,MEM@NO,MEM,NO,,
18347-9673,PG,Goran,Goran Dragic,Dragic,33.64262215,61,8200,PHO@MIA,MIA,PHO,,
18347-15860,PF,Draymond,Draymond Green,Green,35.51666815,66,8100,GS@DAL,GS,DAL,,
18347-9561,C,DeAndre,DeAndre Jordan,Jordan,33.56571568,70,7900,LAC@LAL,LAC,LAL,,
18347-9581,C,Marc,Marc Gasol,Gasol,36.66119476,67,7900,MEM@NO,MEM,NO,,
18347-15557,C,Andre,Andre Drummond,Drummond,36.34782609,69,7800,DET@BKN,DET,BKN,,
18347-14496,PG,Ricky,Ricky Rubio,Rubio,29.53809563,63,7500,SA@MIN,MIN,SA,,
18347-9663,PG,Jrue,Jrue Holiday,Holiday,32.76000089,55,7300,MEM@NO,NO,MEM,,
18347-19067,SG,C.J.,C.J. McCollum,McCollum,33.86811453,69,7100,MIL@POR,POR,MIL,,
18347-9621,C,Brook,Brook Lopez,Lopez,32.48412698,63,7100,DET@BKN,BKN,DET,,
18347-14509,SG,Klay,Klay Thompson,Thompson,30.59253658,67,7000,GS@DAL,GS,DAL,,
18347-9688,PF,LaMarcus,LaMarcus Aldridge,Aldridge,31.31147541,61,7000,SA@MIN,SA,MIN,,
18347-49116,SF,Andrew,Andrew Wiggins,Wiggins,31.76811594,69,7000,SA@MIN,MIN,SA,,
18347-58460,SG,Devin,Devin Booker,Booker,28.68676399,68,6700,PHO@MIA,PHO,MIA,GTD,Ankle
18347-55057,C,Jusuf,Jusuf Nurkic,Nurkic,21.79322117,59,6700,MIL@POR,POR,MIL,,
18347-42669,PF,Julius,Julius Randle,Randle,28.99032297,62,6600,LAC@LAL,LAL,LAC,,
18347-23120,SF,T.J.,T.J. Warren,Warren,23.76842191,57,6500,PHO@MIA,PHO,MIA,,
18347-12337,C,Greg,Greg Monroe,Monroe,25.08382281,68,6400,MIL@POR,MIL,POR,,
18347-58463,PG,Tyler,Tyler Ulis,Ulis,11.04693853,49,6400,PHO@MIA,PHO,MIA,,
18347-9966,PF,James,James Johnson,Johnson,25.46406174,64,6400,PHO@MIA,MIA,PHO,,
18347-16261,SF,Khris,Khris Middleton,Middleton,25.51764634,17,6400,MIL@POR,MIL,POR,,
18347-58312,PG,D'Angelo,D'Angelo Russell,Russell,27.25740786,54,6400,LAC@LAL,LAL,LAC,,
18347-16220,SG,Dion,Dion Waiters,Waiters,26.81739077,46,6300,PHO@MIA,MIA,PHO,O,Ankle
18347-12443,PG,Jeremy,Jeremy Lin,Lin,25.34399902,25,6000,DET@BKN,BKN,DET,GTD,Ankle
18347-9500,PF,Dirk,Dirk Nowitzki,Nowitzki,26.26744186,43,6000,GS@DAL,DAL,GS,,
18347-23825,C,Nerlens,Nerlens Noel,Noel,20.55526252,38,5900,GS@DAL,DAL,GS,,
18347-9570,C,Pau,Pau Gasol,Gasol,26.94615291,52,5900,SA@MIN,SA,MIN,,
18347-15946,SF,Harrison,Harrison Barnes,Barnes,29.05941994,69,5800,GS@DAL,DAL,GS,,
18347-20640,PG,Jordan,Jordan Clarkson,Clarkson,22.34285714,70,5800,LAC@LAL,LAL,LAC,,
18347-17542,C,Alan,Alan Williams,Williams,16.15833367,36,5700,PHO@MIA,PHO,MIA,,
18347-18600,PG,Tyler,Tyler Johnson,Johnson,26.09344182,61,5700,PHO@MIA,MIA,PHO,,
18347-9957,PF,Serge,Serge Ibaka,Ibaka,27.55652209,69,5700,CHI@TOR,TOR,CHI,,
18347-14503,C,Jonas,Jonas Valanciunas,Valanciunas,25.67500036,68,5500,CHI@TOR,TOR,CHI,,
18347-9579,PF,Zach,Zach Randolph,Randolph,26.32742014,62,5500,MEM@NO,MEM,NO,,
18347-14518,PF,Tobias,Tobias Harris,Harris,25.99857178,70,5400,DET@BKN,DET,BKN,,
18347-9455,PG,Rajon,Rajon Rondo,Rondo,23.32166748,60,5400,CHI@TOR,CHI,TOR,,
18347-14512,SF,Marcus,Marcus Morris,Morris,24.06956593,69,5300,DET@BKN,DET,BKN,,
18347-15583,SG,Seth,Seth Curry,Curry,21.02000075,65,5300,GS@DAL,DAL,GS,,
18347-9587,SF,Michael,Michael Beasley,Beasley,16.03199951,50,5200,MIL@POR,MIL,POR,O,Knee
18347-15771,PF,Gorgui,Gorgui Dieng,Dieng,24.97826087,69,5200,SA@MIN,MIN,SA,,
18347-12350,PF,Trevor,Trevor Booker,Booker,24.81639424,61,5100,DET@BKN,BKN,DET,,
18347-9873,C,Robin,Robin Lopez,Lopez,21.91714216,70,5000,CHI@TOR,CHI,TOR,,
18347-14523,PG,Reggie,Reggie Jackson,Jackson,24.81428621,49,5000,DET@BKN,DET,BKN,,
18347-14529,PG,Cory,Cory Joseph,Joseph,17.80588307,68,5000,CHI@TOR,TOR,CHI,,
18347-16359,PG,Malcolm,Malcolm Brogdon,Brogdon,20.49104514,67,5000,MIL@POR,MIL,POR,,
18347-67707,PF,Marquese,Marquese Chriss,Chriss,16.16857213,70,4900,PHO@MIA,PHO,MIA,,
18347-9495,PG,J.J.,J.J. Barea,Barea,21.57083384,24,4900,GS@DAL,DAL,GS,,
18347-9664,SF,Andre,Andre Iguodala,Iguodala,19.06268584,67,4900,GS@DAL,GS,DAL,,
18347-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,23.89076961,65,4700,DET@BKN,DET,BKN,,
18347-12342,PF,Al-Farouq,Al-Farouq Aminu,Aminu,21.38163166,49,4600,MIL@POR,POR,MIL,,
18347-16233,SG,Josh,Josh Richardson,Richardson,18.87561035,41,4600,PHO@MIA,MIA,PHO,,
18347-9638,PF,David,David Lee,Lee,17.39558859,68,4600,SA@MIN,SA,MIN,,
18347-15814,C,Alex,Alex Len,Len,18.16923077,65,4600,PHO@MIA,PHO,MIA,,
18347-24546,SG,Denzel,Denzel Valentine,Valentine,9.962221951,45,4600,CHI@TOR,CHI,TOR,,
18347-66048,SF,Brandon,Brandon Ingram,Ingram,17.36142927,70,4500,LAC@LAL,LAL,LAC,,
18347-9799,SG,Wesley,Wesley Matthews,Matthews,23.57936508,63,4500,GS@DAL,DAL,GS,,
18347-12359,SF,Evan,Evan Turner,Turner,19.92115432,52,4500,MIL@POR,POR,MIL,,
18347-42148,SF,Rondae,Rondae Hollis-Jefferson,Hollis-Jefferson,19.12615309,65,4500,DET@BKN,BKN,DET,,
18347-23772,PG,Yogi,Yogi Ferrell,Ferrell,18.59697007,33,4500,GS@DAL,DAL,GS,,
18347-14522,PF,Nikola,Nikola Mirotic,Mirotic,19.04137973,58,4400,CHI@TOR,CHI,TOR,,
18347-9939,PG,Patty,Patty Mills,Mills,17.72794118,68,4400,SA@MIN,SA,MIN,,
