PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,PTS_TOT,X
202691,Klay Thompson,Klay,Thompson,GSW,77,34.1,11.6,4.3,9.4,0.456,3.1,7.1,0.439,0.622,896,NA
1717,Dirk Nowitzki,Dirk,Nowitzki,DAL,52,26.3,7.9,3.3,7.4,0.443,1.3,3.4,0.391,0.534,410,NA
201586,Serge Ibaka,Serge,Ibaka,TOR,23,30.9,7.5,2.9,6.9,0.424,1.7,4.3,0.394,0.547,173,NA
2594,Kyle Korver,Kyle,Korver,CLE,33,24.8,7.5,2.7,5.8,0.463,2.2,4.7,0.465,0.653,248,NA
201567,Kevin Love,Kevin,Love,CLE,59,31.3,7.5,2.6,6.7,0.389,2.3,5.8,0.398,0.564,443,NA
202331,Paul George,Paul,George,IND,73,35.7,7.3,2.6,6.1,0.435,2.0,4.8,0.418,0.599,532,NA
201583,Ryan Anderson,Ryan,Anderson,HOU,71,29.3,7.2,2.4,5.6,0.429,2.4,5.6,0.428,0.641,514,NA
201569,Eric Gordon,Eric,Gordon,HOU,74,31.1,7.2,2.4,6.6,0.366,2.4,6.6,0.366,0.548,536,NA
203078,Bradley Beal,Bradley,Beal,WAS,77,34.7,7.0,2.5,5.6,0.442,2.0,4.8,0.425,0.624,539,NA
201939,Stephen Curry,Stephen,Curry,GSW,78,33.5,6.9,2.4,5.0,0.473,2.1,4.5,0.466,0.682,536,NA
201586,Serge Ibaka,Serge,Ibaka,TOTAL,79,30.6,6.9,2.7,6.5,0.42,1.5,3.9,0.382,0.535,548,NA
201188,Marc Gasol,Marc,Gasol,MEM,73,34.4,6.8,2.8,6.7,0.413,1.3,3.4,0.394,0.513,500,NA
200755,JJ Redick,JJ,Redick,LAC,77,28.2,6.8,2.5,5.6,0.444,1.9,4.2,0.448,0.614,526,NA
201586,Serge Ibaka,Serge,Ibaka,ORL,56,30.4,6.7,2.6,6.3,0.418,1.4,3.8,0.376,0.53,375,NA
2594,Kyle Korver,Kyle,Korver,TOTAL,65,26.3,6.7,2.4,5.3,0.453,1.9,4.2,0.453,0.635,434,NA
203490,Otto Porter Jr.,Otto,Porter Jr.,WAS,79,32.6,6.7,2.4,5.2,0.471,1.8,4.0,0.447,0.644,528,NA
204001,Kristaps Porzingis,Kristaps,Porzingis,NYK,66,32.8,6.6,2.5,6.3,0.395,1.6,4.4,0.37,0.524,435,NA
203082,Terrence Ross,Terrence,Ross,ORL,23,31.6,6.6,2.4,5.8,0.418,1.7,4.5,0.388,0.567,152,NA
201156,Nick Young,Nick,Young,LAL,60,25.9,6.5,2.2,5.0,0.443,2.1,4.8,0.442,0.654,390,NA
101139,CJ Miles,CJ,Miles,IND,74,23.4,6.4,2.2,5.4,0.411,2.0,4.8,0.423,0.598,475,NA
2546,Carmelo Anthony,Carmelo,Anthony,NYK,73,34.5,6.3,2.4,5.4,0.45,1.5,3.5,0.424,0.589,463,NA
201961,Wayne Ellington,Wayne,Ellington,MIA,60,24.0,6.2,2.2,5.6,0.398,1.8,4.8,0.38,0.561,375,NA
101141,Ersan Ilyasova,Ersan,Ilyasova,PHI,53,27.3,6.2,2.3,5.7,0.4,1.7,4.4,0.388,0.55,330,NA
2772,Trevor Ariza,Trevor,Ariza,HOU,79,34.6,6.0,2.0,5.6,0.357,2.0,5.6,0.358,0.535,473,NA
2747,JR Smith,JR,Smith,CLE,39,28.8,6.0,2.0,5.5,0.364,2.0,5.4,0.367,0.544,233,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,NOP,17,33.7,5.9,2.1,5.6,0.368,1.8,4.9,0.373,0.532,101,NA
201572,Brook Lopez,Brook,Lopez,BKN,75,29.7,5.9,2.2,5.6,0.388,1.6,4.6,0.343,0.529,444,NA
203109,Jae Crowder,Jae,Crowder,BOS,71,32.5,5.8,2.0,5.0,0.403,1.7,4.3,0.411,0.577,410,NA
201142,Kevin Durant,Kevin,Durant,GSW,61,33.5,5.8,2.2,4.6,0.477,1.4,3.4,0.417,0.629,356,NA
101112,Channing Frye,Channing,Frye,CLE,72,18.9,5.8,2.0,4.8,0.421,1.8,4.3,0.41,0.608,416,NA
2594,Kyle Korver,Kyle,Korver,ATL,32,27.9,5.8,2.1,4.8,0.441,1.6,3.7,0.437,0.612,186,NA
203496,Robert Covington,Robert,Covington,PHI,67,31.6,5.7,1.9,5.8,0.329,1.8,5.6,0.331,0.487,379,NA
203459,Allen Crabbe,Allen,Crabbe,POR,79,28.5,5.7,2.0,4.5,0.45,1.6,3.5,0.466,0.63,451,NA
201568,Danilo Gallinari,Danilo,Gallinari,DEN,62,34.0,5.7,2.0,5.0,0.405,1.7,4.2,0.411,0.576,356,NA
202083,Wesley Matthews,Wesley,Matthews,DAL,72,34.1,5.6,1.9,5.0,0.375,1.8,4.8,0.376,0.555,403,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,TOTAL,72,34.2,5.5,2.0,5.2,0.381,1.5,4.1,0.368,0.525,397,NA
101141,Ersan Ilyasova,Ersan,Ilyasova,TOTAL,80,26.4,5.5,2.0,5.0,0.408,1.5,3.8,0.389,0.558,443,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,SAC,55,34.4,5.4,2.0,5.1,0.385,1.4,3.9,0.366,0.523,296,NA
203506,Victor Oladipo,Victor,Oladipo,OKC,65,33.3,5.4,1.9,5.0,0.378,1.6,4.4,0.372,0.543,351,NA
203503,Tony Snell,Tony,Snell,MIL,79,29.2,5.4,1.9,4.5,0.416,1.7,4.1,0.415,0.608,429,NA
201143,Al Horford,Al,Horford,BOS,67,32.5,5.3,2.0,5.1,0.393,1.3,3.5,0.362,0.516,352,NA
202695,Kawhi Leonard,Kawhi,Leonard,SAS,72,33.5,5.3,2.0,4.3,0.46,1.4,3.2,0.43,0.619,385,NA
101107,Marvin Williams,Marvin,Williams,CHA,74,30.5,5.3,1.9,5.0,0.369,1.6,4.5,0.355,0.528,392,NA
204038,Langston Galloway,Langston,Galloway,NOP,55,20.4,5.2,1.8,4.5,0.405,1.6,3.9,0.407,0.581,287,NA
203914,Gary Harris,Gary,Harris,DEN,55,30.8,5.2,1.8,3.9,0.453,1.7,3.6,0.455,0.666,285,NA
203897,Zach LaVine,Zach,LaVine,MIN,47,37.2,5.2,1.8,4.2,0.424,1.7,3.9,0.431,0.621,246,NA
202340,Avery Bradley,Avery,Bradley,BOS,54,33.4,5.1,1.9,4.9,0.394,1.3,3.4,0.383,0.527,278,NA
203584,Troy Daniels,Troy,Daniels,MEM,66,17.6,5.1,1.8,4.7,0.38,1.5,4.1,0.378,0.545,336,NA
2200,Pau Gasol,Pau,Gasol,SAS,62,25.4,5.1,2.1,4.1,0.51,0.9,1.6,0.545,0.618,315,NA
1626163,Frank Kaminsky,Frank,Kaminsky,CHA,73,26.2,5.1,1.7,4.9,0.352,1.6,4.5,0.352,0.511,369,NA
200746,LaMarcus Aldridge,LaMarcus,Aldridge,SAS,70,32.4,5.0,2.4,5.5,0.432,0.3,0.7,0.438,0.459,351,NA
201587,Nicolas Batum,Nicolas,Batum,CHA,75,34.4,5.0,1.8,4.9,0.367,1.4,3.9,0.35,0.507,373,NA
203962,Josh Huestis,Josh,Huestis,OKC,1,6.9,5.0,2.0,3.0,0.667,1.0,2.0,0.5,0.833,5,NA
1626157,Karl-Anthony Towns,Karl-Anthony,Towns,MIN,80,36.9,5.0,1.9,4.5,0.427,1.1,2.9,0.388,0.553,396,NA
202330,Gordon Hayward,Gordon,Hayward,UTA,72,34.6,4.9,1.8,4.4,0.404,1.3,3.4,0.387,0.557,350,NA
203082,Terrence Ross,Terrence,Ross,TOTAL,76,25.1,4.9,1.7,4.6,0.375,1.4,3.9,0.368,0.532,369,NA
201980,Danny Green,Danny,Green,SAS,66,26.7,4.8,1.6,4.1,0.401,1.5,3.9,0.4,0.591,318,NA
204038,Langston Galloway,Langston,Galloway,TOTAL,72,19.8,4.8,1.7,3.9,0.424,1.4,3.4,0.426,0.608,344,NA
202703,Nikola Mirotic,Nikola,Mirotic,CHI,69,24.0,4.8,1.6,5.0,0.328,1.5,4.6,0.332,0.481,332,NA
203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,DET,75,33.4,4.7,1.7,4.2,0.396,1.3,3.6,0.373,0.558,349,NA
203468,CJ McCollum,CJ,McCollum,POR,80,34.9,4.7,1.6,3.8,0.433,1.4,3.3,0.425,0.618,377,NA
202738,Isaiah Thomas,Isaiah,Thomas,BOS,75,34.0,4.7,1.6,3.9,0.407,1.5,3.6,0.406,0.593,350,NA
1626167,Myles Turner,Myles,Turner,IND,79,31.4,4.7,2.1,5.0,0.421,0.5,1.3,0.34,0.466,370,NA
202348,Jordan Crawford,Jordan,Crawford,NOP,17,23.5,4.6,1.6,3.6,0.435,1.5,3.4,0.431,0.637,79,NA
203501,Tim Hardaway Jr.,Tim,Hardaway Jr.,ATL,78,27.3,4.6,1.6,4.2,0.38,1.4,3.9,0.372,0.554,359,NA
202711,Bojan Bogdanovic,Bojan,Bogdanovic,WAS,25,22.9,4.5,1.6,4.0,0.39,1.4,3.7,0.376,0.565,113,NA
203076,Anthony Davis,Anthony,Davis,NOP,75,36.1,4.5,2.0,5.0,0.399,0.5,1.7,0.298,0.449,335,NA
NA,Jordan Farmar,Jordan,Farmar,SAC,2,17.7,4.5,1.5,2.5,0.6,1.5,2.5,0.6,0.9,9,NA
203095,Evan Fournier,Evan,Fournier,ORL,67,32.8,4.5,1.6,4.1,0.378,1.4,3.7,0.371,0.544,299,NA
202694,Marcus Morris,Marcus,Morris,DET,79,32.5,4.5,1.6,4.1,0.391,1.3,3.4,0.374,0.548,353,NA
202335,Patrick Patterson,Patrick,Patterson,TOR,64,24.8,4.5,1.5,4.1,0.375,1.4,3.8,0.368,0.546,285,NA
201589,Darrell Arthur,Darrell,Arthur,DEN,39,14.9,4.4,1.6,3.3,0.485,1.2,2.5,0.465,0.662,172,NA
202711,Bojan Bogdanovic,Bojan,Bogdanovic,TOTAL,79,25.8,4.4,1.5,3.8,0.395,1.4,3.6,0.391,0.58,349,NA
202711,Bojan Bogdanovic,Bojan,Bogdanovic,BKN,54,27.1,4.4,1.5,3.7,0.398,1.4,3.5,0.398,0.587,236,NA
203918,Rodney Hood,Rodney,Hood,UTA,58,27.0,4.4,1.5,3.7,0.42,1.4,3.3,0.423,0.608,258,NA
203079,Dion Waiters,Dion,Waiters,MIA,46,30.1,4.4,1.5,3.5,0.441,1.3,3.1,0.434,0.634,204,NA
1626164,Devin Booker,Devin,Booker,PHX,76,35.0,4.3,1.6,4.4,0.358,1.1,3.2,0.357,0.489,325,NA
201960,DeMarre Carroll,DeMarre,Carroll,TOR,70,26.3,4.3,1.5,4.3,0.346,1.4,4.1,0.337,0.505,304,NA
202699,Tobias Harris,Tobias,Harris,DET,81,31.3,4.3,1.5,4.1,0.37,1.3,3.6,0.358,0.529,349,NA
