PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,BLK,STL,FGM_DEFEND_RIM,FGA_DEFEND_RIM,FGP_DEFEND_RIM,BLK_TOT,X
203954,Joel Embiid,Joel,Embiid,PHI,31,25.3,2.5,0.9,3.1,7.4,0.415,76,NA
201579,Roy Hibbert,Roy,Hibbert,TOTAL,48,14.2,1.0,0.2,1.8,4.2,0.425,46,NA
201579,Roy Hibbert,Roy,Hibbert,CHA,42,16.0,1.0,0.2,2.0,4.7,0.426,44,NA
200746,LaMarcus Aldridge,LaMarcus,Aldridge,SAS,69,32.6,1.2,0.6,2.4,5.5,0.432,86,NA
203497,Rudy Gobert,Rudy,Gobert,UTA,79,33.9,2.7,0.6,4.4,10.3,0.432,211,NA
203473,Dewayne Dedmon,Dewayne,Dedmon,SAS,73,17.5,0.8,0.5,1.9,4.3,0.436,60,NA
203110,Draymond Green,Draymond,Green,GSW,75,32.7,1.4,2.0,3.1,7.1,0.438,104,NA
204001,Kristaps Porzingis,Kristaps,Porzingis,NYK,66,32.8,2.0,0.7,3.4,7.8,0.44,129,NA
203924,Jerami Grant,Jerami,Grant,TOTAL,78,19.1,1.0,0.4,1.1,2.3,0.453,78,NA
203924,Jerami Grant,Jerami,Grant,OKC,76,19.1,1.0,0.4,1.0,2.3,0.453,74,NA
202335,Patrick Patterson,Patrick,Patterson,TOR,64,24.8,0.4,0.6,1.4,3.0,0.458,23,NA
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,MIL,79,35.5,1.9,1.7,2.4,5.1,0.463,150,NA
203382,Aron Baynes,Aron,Baynes,DET,75,15.5,0.5,0.2,1.9,4.1,0.464,39,NA
202695,Kawhi Leonard,Kawhi,Leonard,SAS,71,33.7,0.8,1.8,1.2,2.7,0.466,54,NA
203124,Kyle O'Quinn,Kyle,O'Quinn,NYK,78,15.6,1.3,0.4,2.4,5.2,0.467,102,NA
201572,Brook Lopez,Brook,Lopez,BKN,74,29.6,1.7,0.5,3.0,6.3,0.468,123,NA
202355,Hassan Whiteside,Hassan,Whiteside,MIA,75,32.5,2.1,0.7,4.3,9.1,0.468,158,NA
202324,Derrick Favors,Derrick,Favors,UTA,49,23.8,0.8,0.9,2.2,4.8,0.472,40,NA
203090,Maurice Harkless,Maurice,Harkless,POR,76,28.9,0.9,1.1,1.4,2.9,0.473,69,NA
203512,Lucas Nogueira,Lucas,Nogueira,TOR,55,19.1,1.5,0.9,2.9,6.1,0.477,85,NA
203943,Noah Vonleh,Noah,Vonleh,POR,72,16.5,0.4,0.4,1.6,3.4,0.477,27,NA
203496,Robert Covington,Robert,Covington,PHI,67,31.6,1.0,1.9,1.8,3.7,0.48,69,NA
201188,Marc Gasol,Marc,Gasol,MEM,73,34.4,1.3,0.9,3.0,6.2,0.48,97,NA
203486,Mason Plumlee,Mason,Plumlee,POR,54,28.0,1.2,0.9,3.6,7.6,0.48,63,NA
1627785,Isaiah Whitehead,Isaiah,Whitehead,BKN,71,22.4,0.5,0.6,1.0,2.1,0.48,36,NA
202334,Ed Davis,Ed,Davis,POR,46,17.2,0.5,0.3,1.7,3.5,0.481,22,NA
1626158,Richaun Holmes,Richaun,Holmes,PHI,55,20.5,1.0,0.7,2.8,5.8,0.481,54,NA
2561,David West,David,West,GSW,66,12.5,0.7,0.6,1.7,3.5,0.481,48,NA
2730,Dwight Howard,Dwight,Howard,ATL,73,29.7,1.2,0.9,2.8,5.8,0.485,91,NA
101135,David Lee,David,Lee,SAS,76,18.7,0.5,0.4,1.9,3.8,0.485,38,NA
2744,Al Jefferson,Al,Jefferson,IND,65,14.1,0.2,0.3,1.4,2.8,0.486,16,NA
1627751,Jakob Poeltl,Jakob,Poeltl,TOR,52,11.5,0.4,0.3,1.7,3.4,0.486,19,NA
202329,Al-Farouq Aminu,Al-Farouq,Aminu,POR,60,29.1,0.7,1.0,2.5,5.1,0.487,42,NA
101161,Amir Johnson,Amir,Johnson,BOS,78,20.2,0.8,0.6,2.6,5.2,0.489,61,NA
201577,Robin Lopez,Robin,Lopez,CHI,79,28.1,1.5,0.2,4.6,9.3,0.489,115,NA
1626210,Alan Williams,Alan,Williams,PHX,46,14.7,0.7,0.6,2.4,5.0,0.489,32,NA
2200,Pau Gasol,Pau,Gasol,SAS,61,25.5,1.1,0.4,3.3,6.8,0.49,69,NA
203967,Dario Saric,Dario,Saric,PHI,80,26.3,0.4,0.7,2.4,4.9,0.491,29,NA
