"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"18599-12332","PG","John","John Wall","Wall","45.53552567331415","76","10500","WAS@NY","WAS","NY","","","",""
"18599-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","44.581818815949674","77","10200","MIN@POR","MIN","POR","","","",""
"18599-40199","SG","Giannis","Giannis Antetokounmpo","Antetokounmpo","45.82337535511363","77","10000","MIL@IND","MIL","IND","","","",""
"18599-14528","SF","Jimmy","Jimmy Butler","Butler","42.047220865885414","72","9900","CHI@PHI","CHI","PHI","","","",""
"18599-12341","SF","Paul","Paul George","George","37.008452079665496","71","9100","MIL@IND","IND","MIL","","","",""
"18599-20848","PG","Damian","Damian Lillard","Lillard","40.87808352953767","73","9100","MIN@POR","POR","MIN","","","",""
"18599-14559","PG","Isaiah","Isaiah Thomas","Thomas","40.5625","72","8500","BOS@ATL","BOS","ATL","","","",""
"18599-14514","C","Nikola","Nikola Vucevic","Vucevic","33.51690072073063","71","8100","BKN@ORL","ORL","BKN","","","",""
"18599-14496","PG","Ricky","Ricky Rubio","Rubio","30.529578840228872","71","7900","MIN@POR","MIN","POR","","","",""
"18599-55057","C","Jusuf","Jusuf Nurkic","Nurkic","23.26000037560096","65","7500","MIN@POR","POR","MIN","O","Lower leg","",""
"18599-9660","C","Dwight","Dwight Howard","Howard","33.056338028169016","71","7500","BOS@ATL","ATL","BOS","","","",""
"18599-15595","SG","Bradley","Bradley Beal","Beal","32.62162162162162","74","7500","WAS@NY","WAS","NY","","","",""
"18599-19138","PG","Elfrid","Elfrid Payton","Payton","28.770514072516026","78","7400","BKN@ORL","ORL","BKN","","","",""
"18599-49116","SF","Andrew","Andrew Wiggins","Wiggins","32.00519353693182","77","7400","MIN@POR","MIN","POR","","","",""
"18599-9729","PF","Paul","Paul Millsap","Millsap","35.06060606060606","66","7300","BOS@ATL","ATL","BOS","GTD","Knee","",""
"18599-40201","PG","Dennis","Dennis Schroder","Schroder","30.31052760074013","76","7300","BOS@ATL","ATL","BOS","","","",""
"18599-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","32.50757575757576","66","7200","WAS@NY","NY","WAS","GTD","Back","",""
"18599-19067","SG","C.J.","C.J. McCollum","McCollum","33.55512883112981","78","7100","MIN@POR","POR","MIN","","","",""
"18599-9621","C","Brook","Brook Lopez","Lopez","32.690277099609375","72","7100","BKN@ORL","BKN","ORL","","","",""
"18599-9453","C","Al","Al Horford","Horford","32.232810974121094","64","7100","BOS@ATL","BOS","ATL","","","",""
"18599-9446","PG","Jeff","Jeff Teague","Teague","32.55897561097756","78","7000","MIL@IND","IND","MIL","","","",""
"18599-9455","PG","Rajon","Rajon Rondo","Rondo","24.717647776884192","68","7000","CHI@PHI","CHI","PHI","O","Wrist","",""
"18599-20491","SF","Robert","Robert Covington","Covington","26.883581360774254","67","6900","CHI@PHI","PHI","CHI","O","Knee","",""
"18599-55056","PF","Dario","Dario Saric","Saric","23.58718011318109","78","6900","CHI@PHI","PHI","CHI","","","",""
