PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,PTS_TOT,X
201566,Russell Westbrook,Russell,Westbrook,OKC,78,34.7,10.9,4.6,12.3,0.372,1.7,4.9,0.348,0.442,848,NA
101108,Chris Paul,Chris,Paul,LAC,58,31.5,10.3,4.4,9.6,0.458,1.5,3.7,0.392,0.534,597,NA
201942,DeMar DeRozan,DeMar,DeRozan,TOR,71,35.5,9.4,4.6,10.8,0.429,0.1,0.5,0.179,0.434,665,NA
201935,James Harden,James,Harden,HOU,77,36.5,9.1,3.4,9.7,0.351,2.3,6.9,0.331,0.468,697,NA
203468,CJ McCollum,CJ,McCollum,POR,78,34.9,9.0,4.1,8.7,0.467,0.9,2.1,0.436,0.521,704,NA
202681,Kyrie Irving,Kyrie,Irving,CLE,70,35.0,8.9,3.8,9.1,0.421,1.2,3.5,0.344,0.487,620,NA
202689,Kemba Walker,Kemba,Walker,CHA,78,34.7,8.3,3.3,8.7,0.383,1.7,4.8,0.358,0.482,651,NA
2546,Carmelo Anthony,Carmelo,Anthony,NYK,72,34.6,8.0,3.7,9.0,0.415,0.5,2.0,0.253,0.444,575,NA
201939,Stephen Curry,Stephen,Curry,GSW,77,33.6,8.0,3.1,7.9,0.387,1.9,5.2,0.362,0.507,616,NA
203081,Damian Lillard,Damian,Lillard,POR,73,35.8,8.0,3.2,8.9,0.365,1.5,4.7,0.328,0.452,585,NA
200768,Kyle Lowry,Kyle,Lowry,TOR,56,37.7,7.5,2.8,6.6,0.425,1.9,4.5,0.419,0.569,418,NA
202738,Isaiah Thomas,Isaiah,Thomas,BOS,72,34.0,7.5,2.9,7.0,0.414,1.7,4.6,0.365,0.535,540,NA
202695,Kawhi Leonard,Kawhi,Leonard,SAS,70,33.7,7.4,3.4,8.1,0.422,0.6,2.0,0.307,0.459,518,NA
201144,Mike Conley,Mike,Conley,MEM,66,33.6,7.0,2.8,7.1,0.403,1.3,3.6,0.376,0.499,465,NA
202322,John Wall,John,Wall,WAS,76,36.2,6.7,3.1,8.3,0.374,0.5,1.7,0.285,0.403,507,NA
202331,Paul George,Paul,George,IND,70,35.7,6.6,3.0,7.3,0.413,0.6,1.7,0.328,0.452,460,NA
1626164,Devin Booker,Devin,Booker,PHX,74,35.1,6.5,3.0,7.7,0.39,0.6,1.7,0.339,0.427,484,NA
1627741,Buddy Hield,Buddy,Hield,SAC,21,28.3,6.4,2.7,5.1,0.519,1.0,2.1,0.5,0.62,134,NA
2548,Dwyane Wade,Dwyane,Wade,CHI,57,30.2,6.4,3.0,8.0,0.369,0.5,1.5,0.313,0.397,364,NA
203952,Andrew Wiggins,Andrew,Wiggins,MIN,77,37.3,6.4,3.0,8.2,0.367,0.4,1.3,0.29,0.39,493,NA
202710,Jimmy Butler,Jimmy,Butler,CHI,72,37.1,6.0,2.8,7.4,0.369,0.5,1.6,0.328,0.405,434,NA
203078,Bradley Beal,Bradley,Beal,WAS,74,34.6,6.0,2.6,5.7,0.455,0.8,2.1,0.373,0.525,441,NA
2037,Jamal Crawford,Jamal,Crawford,LAC,79,26.4,5.9,2.6,6.3,0.411,0.7,2.0,0.376,0.471,467,NA
201950,Jrue Holiday,Jrue,Holiday,NOP,63,33.2,5.9,2.4,6.1,0.388,1.1,2.9,0.393,0.481,372,NA
202704,Reggie Jackson,Reggie,Jackson,DET,52,27.4,5.8,2.5,6.3,0.401,0.7,2.0,0.363,0.457,299,NA
1626156,D'Angelo Russell,D'Angelo,Russell,LAL,61,28.6,5.7,2.4,6.6,0.358,1.0,3.0,0.32,0.43,348,NA
202339,Eric Bledsoe,Eric,Bledsoe,PHX,64,33.0,5.5,2.4,7.0,0.341,0.8,2.5,0.301,0.395,355,NA
202330,Gordon Hayward,Gordon,Hayward,UTA,70,34.6,5.4,2.3,5.8,0.402,0.7,1.6,0.409,0.46,375,NA
201588,George Hill,George,Hill,UTA,47,32.0,5.3,2.3,5.3,0.433,0.8,1.9,0.414,0.506,250,NA
201609,Goran Dragic,Goran,Dragic,MIA,69,33.3,5.2,2.3,5.5,0.413,0.7,1.5,0.441,0.472,359,NA
2544,LeBron James,LeBron,James,CLE,72,37.6,5.2,2.2,6.0,0.356,0.9,2.6,0.332,0.429,373,NA
203897,Zach LaVine,Zach,LaVine,MIN,47,37.2,5.2,2.2,5.7,0.383,0.9,2.5,0.336,0.457,246,NA
101150,Lou Williams,Lou,Williams,LAL,58,24.2,5.1,2.0,5.5,0.366,1.1,2.9,0.374,0.467,296,NA
203084,Harrison Barnes,Harrison,Barnes,DAL,77,35.7,5.0,2.4,5.8,0.416,0.1,0.5,0.297,0.429,385,NA
200826,J.J. Barea,J.J.,Barea,DAL,32,22.3,4.8,2.0,5.2,0.38,0.9,2.7,0.322,0.464,154,NA
202694,Marcus Morris,Marcus,Morris,DET,77,32.8,4.8,2.3,5.7,0.396,0.2,1.0,0.205,0.414,366,NA
201565,Derrick Rose,Derrick,Rose,NYK,64,32.6,4.7,2.3,5.4,0.425,0.1,0.3,0.278,0.432,299,NA
101150,Lou Williams,Lou,Williams,TOTAL,78,24.6,4.7,1.9,5.1,0.362,1.0,2.8,0.362,0.462,370,NA
101114,Deron Williams,Deron,Williams,DAL,39,29.2,4.6,2.1,4.8,0.431,0.5,1.7,0.273,0.479,180,NA
NA,Anthony Brown,Anthony,Brown,ORL,2,8.2,4.5,2.0,3.0,0.667,0.5,0.5,1.0,0.75,9,NA
203552,Seth Curry,Seth,Curry,DAL,69,29.1,4.4,1.9,4.1,0.455,0.6,1.4,0.444,0.531,304,NA
203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,DET,73,33.6,4.4,1.9,5.3,0.358,0.6,1.9,0.333,0.418,323,NA
202340,Avery Bradley,Avery,Bradley,BOS,51,33.4,4.3,1.8,4.4,0.42,0.6,1.6,0.378,0.489,219,NA
201142,Kevin Durant,Kevin,Durant,GSW,59,33.6,4.3,1.9,5.0,0.39,0.4,1.5,0.261,0.429,253,NA
200755,JJ Redick,JJ,Redick,LAC,75,28.2,4.3,1.8,4.3,0.426,0.7,1.7,0.389,0.503,321,NA
201587,Nicolas Batum,Nicolas,Batum,CHA,74,34.3,4.2,1.9,5.1,0.378,0.4,1.3,0.298,0.415,314,NA
201954,Darren Collison,Darren,Collison,SAC,67,30.4,4.2,2.0,4.5,0.435,0.3,0.9,0.322,0.467,281,NA
202348,Jordan Crawford,Jordan,Crawford,NOP,15,22.6,4.2,1.9,4.7,0.4,0.5,1.7,0.269,0.45,63,NA
1627812,Yogi Ferrell,Yogi,Ferrell,DAL,32,28.8,4.2,1.7,4.6,0.367,0.8,2.1,0.397,0.459,135,NA
202391,Jeremy Lin,Jeremy,Lin,BKN,32,23.9,4.2,1.8,4.4,0.404,0.7,2.0,0.344,0.482,136,NA
203471,Dennis Schroder,Dennis,Schroder,ATL,76,31.5,4.2,1.9,5.2,0.362,0.5,1.7,0.28,0.409,323,NA
203903,Jordan Clarkson,Jordan,Clarkson,LAL,78,29.2,4.0,1.7,4.8,0.357,0.6,1.9,0.306,0.417,313,NA
203114,Khris Middleton,Khris,Middleton,MIL,26,30.3,4.0,1.9,4.7,0.413,0.2,0.7,0.294,0.434,105,NA
201156,Nick Young,Nick,Young,LAL,60,25.9,4.0,1.6,4.3,0.38,0.7,2.1,0.331,0.461,238,NA
203918,Rodney Hood,Rodney,Hood,UTA,56,27.2,3.9,1.7,4.4,0.388,0.6,1.8,0.316,0.451,221,NA
1627755,Tyler Ulis,Tyler,Ulis,PHX,56,17.7,3.9,1.9,4.6,0.416,0.1,0.7,0.135,0.426,219,NA
203076,Anthony Davis,Anthony,Davis,NOP,74,36.3,3.8,1.9,4.4,0.426,0.0,0.1,0.286,0.429,280,NA
200771,Sergio Rodriguez,Sergio,Rodriguez,PHI,68,22.3,3.8,1.5,4.4,0.341,0.8,2.3,0.351,0.431,258,NA
203079,Dion Waiters,Dion,Waiters,MIA,46,30.1,3.8,1.7,4.5,0.365,0.5,1.5,0.313,0.416,173,NA
202688,Brandon Knight,Brandon,Knight,PHX,53,21.2,3.7,1.6,4.6,0.358,0.4,1.2,0.323,0.401,195,NA
203506,Victor Oladipo,Victor,Oladipo,OKC,63,33.4,3.7,1.7,4.1,0.417,0.3,0.8,0.354,0.45,233,NA
101114,Deron Williams,Deron,Williams,TOTAL,59,25.9,3.7,1.7,4.0,0.427,0.4,1.3,0.269,0.472,221,NA
101150,Lou Williams,Lou,Williams,HOU,20,25.7,3.7,1.4,4.2,0.349,0.8,2.5,0.32,0.446,74,NA
1626188,Quinn Cook,Quinn,Cook,DAL,5,15.4,3.6,1.4,1.8,0.778,0.8,0.8,1.0,1.0,18,NA
