PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,REB,REB_CHANCE,REB_COL_PCT,REB_CONTESTED,REB_UNCONTESTED,REB_UNCONTESTED_PCT,REB_TOT,OREB,OREB_CHANCE,OREB_COL_PCT,OREB_CONTESTED,OREB_UNCONTESTED,OREB_UNCONTESTED_PCT,DREB,DREB_CHANCE,DREB_COL_PCT,DREB_CONTESTED,DREB_UNCONTESTED,DREB_UNCONTESTED_PCT,X
202355,Hassan Whiteside,Hassan,Whiteside,MIA,75,32.5,14.0,23.7,0.592,5.8,8.2,.416,1052,3.8,8.4,.452,2.9,0.9,.771,10.2,15.3,0.669,2.9,7.3,.285,NA
203497,Rudy Gobert,Rudy,Gobert,UTA,79,33.9,12.8,21.8,0.586,5.0,7.8,.391,1008,3.9,7.6,.509,3.1,0.8,.785,8.9,14.2,0.627,1.9,6.9,.218,NA
203083,Andre Drummond,Andre,Drummond,DET,79,29.9,13.8,21.7,0.639,6.0,7.9,.431,1094,4.3,7.8,.551,3.4,0.8,.802,9.6,13.9,0.688,2.5,7.0,.265,NA
1626157,Karl-Anthony Towns,Karl-Anthony,Towns,MIN,80,36.9,12.2,20.7,0.587,5.0,7.1,.414,974,3.6,7.3,.500,2.8,0.9,.763,8.5,13.5,0.634,2.3,6.3,.265,NA
2730,Dwight Howard,Dwight,Howard,ATL,73,29.7,12.7,19.9,0.637,5.1,7.6,.403,928,4.0,7.3,.551,3.1,0.9,.771,8.7,12.7,0.687,2.0,6.7,.234,NA
201599,DeAndre Jordan,DeAndre,Jordan,LAC,79,31.8,13.8,19.8,0.695,5.4,8.4,.391,1087,3.6,6.1,.594,2.8,0.8,.780,10.1,13.7,0.741,2.5,7.6,.251,NA
101162,Marcin Gortat,Marcin,Gortat,WAS,80,31.2,10.4,19.6,0.533,3.9,6.6,.371,835,2.9,7.1,.408,2.2,0.7,.767,7.5,12.5,0.603,1.6,5.9,.218,NA
203994,Jusuf Nurkic,Jusuf,Nurkic,POR,20,29.2,10.4,19.3,0.536,4.8,5.5,.469,207,3.2,6.6,.492,2.8,0.4,.862,7.1,12.7,0.559,2.0,5.0,.289,NA
2199,Tyson Chandler,Tyson,Chandler,PHX,45,27.3,11.2,19.1,0.588,4.3,6.9,.386,505,3.1,6.6,.463,2.3,0.7,.761,8.2,12.5,0.654,2.0,6.2,.245,NA
202684,Tristan Thompson,Tristan,Thompson,CLE,77,30.1,9.2,19.1,0.484,3.9,5.3,.428,711,3.7,8.6,.425,2.7,1.0,.724,5.6,10.4,0.534,1.3,4.3,.231,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,NOP,17,33.7,12.4,18.8,0.661,4.6,7.8,.370,211,2.2,4.5,.487,1.9,0.2,.892,10.2,14.3,0.716,2.6,7.6,.259,NA
203076,Anthony Davis,Anthony,Davis,NOP,75,36.1,11.8,18.2,0.648,4.1,7.6,.352,884,2.3,4.2,.543,1.8,0.5,.779,9.5,14.0,0.68,2.4,7.1,.249,NA
201567,Kevin Love,Kevin,Love,CLE,59,31.3,11.1,17.7,0.629,3.5,7.6,.316,656,2.5,4.5,.555,1.7,0.8,.667,8.6,13.2,0.654,1.8,6.8,.214,NA
203999,Nikola Jokic,Nikola,Jokic,DEN,70,27.9,9.8,17.4,0.563,3.8,6.0,.385,684,2.9,6.1,.484,2.2,0.8,.729,6.8,11.3,0.605,1.6,5.2,.235,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,TOTAL,72,34.2,11.0,17.0,0.649,3.6,7.4,.325,794,2.1,4.1,.512,1.6,0.5,.743,8.9,12.9,0.693,2.0,6.9,.226,NA
202685,Jonas Valanciunas,Jonas,Valanciunas,TOR,78,26.0,9.5,17.0,0.556,4.3,5.2,.450,738,2.8,6.6,.426,2.3,0.5,.832,6.6,10.4,0.64,1.9,4.7,.288,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,SAC,55,34.4,10.6,16.4,0.645,3.3,7.3,.309,583,2.1,4.0,.520,1.5,0.6,.696,8.5,12.4,0.685,1.8,6.7,.214,NA
202696,Nikola Vucevic,Nikola,Vucevic,ORL,73,28.8,10.4,16.1,0.646,3.7,6.7,.359,758,2.3,4.4,.533,1.8,0.5,.776,8.1,11.7,0.688,1.9,6.1,.238,NA
200794,Paul Millsap,Paul,Millsap,ATL,68,34.1,7.7,16.0,0.484,2.7,5.0,.348,526,1.6,4.6,.354,1.2,0.4,.739,6.1,11.4,0.537,1.5,4.6,.243,NA
203944,Julius Randle,Julius,Randle,LAL,72,29.1,8.7,15.7,0.552,3.0,5.6,.349,624,2.1,4.8,.439,1.5,0.6,.707,6.6,10.9,0.602,1.6,5.0,.236,NA
203476,Gorgui Dieng,Gorgui,Dieng,MIN,80,32.4,7.9,15.6,0.506,2.6,5.3,.331,631,2.3,5.5,.416,1.6,0.7,.703,5.6,10.1,0.554,1.0,4.6,.180,NA
203486,Mason Plumlee,Mason,Plumlee,POR,54,28.0,8.0,15.6,0.512,3.2,4.8,.405,432,2.2,5.7,.390,1.6,0.6,.717,5.8,9.9,0.582,1.6,4.1,.285,NA
201149,Joakim Noah,Joakim,Noah,NYK,46,22.1,8.8,15.5,0.565,4.2,4.5,.481,403,3.5,7.0,.503,2.9,0.6,.821,5.2,8.5,0.616,1.3,3.9,.253,NA
203500,Steven Adams,Steven,Adams,OKC,78,30.1,7.7,15.0,0.515,3.8,3.9,.496,601,3.5,7.7,.457,2.7,0.8,.774,4.2,7.3,0.577,1.1,3.1,.263,NA
203486,Mason Plumlee,Mason,Plumlee,TOTAL,79,26.1,7.5,15.0,0.499,2.8,4.6,.381,591,2.1,5.5,.381,1.5,0.6,.723,5.4,9.5,0.567,1.3,4.1,.247,NA
201566,Russell Westbrook,Russell,Westbrook,OKC,80,34.8,10.7,14.9,0.721,2.2,8.5,.205,859,1.7,3.6,.481,1.0,0.7,.591,9.0,11.3,0.797,1.2,7.8,.132,NA
1626167,Myles Turner,Myles,Turner,IND,78,31.4,7.2,14.8,0.486,3.0,4.2,.420,562,1.7,3.7,.450,1.2,0.5,.687,5.5,11.1,0.498,1.9,3.7,.339,NA
203991,Clint Capela,Clint,Capela,HOU,64,23.7,8.1,14.7,0.548,3.5,4.5,.438,516,2.7,5.7,.474,2.0,0.7,.746,5.4,9.0,0.594,1.5,3.8,.283,NA
202344,Trevor Booker,Trevor,Booker,BKN,70,24.8,8.1,14.6,0.552,2.5,5.5,.313,565,2.0,4.9,.407,1.4,0.6,.700,6.1,9.7,0.626,1.1,4.9,.186,NA
203954,Joel Embiid,Joel,Embiid,PHI,31,25.3,7.8,14.5,0.542,3.5,4.3,.453,243,2.0,4.0,.492,1.5,0.5,.770,5.9,10.5,0.562,2.0,3.8,.346,NA
203994,Jusuf Nurkic,Jusuf,Nurkic,TOTAL,64,21.6,7.3,14.3,0.507,3.3,4.0,.456,465,2.4,5.7,.421,2.0,0.4,.818,4.9,8.6,0.564,1.3,3.5,.277,NA
NA,Andrew Bogut,Andrew,Bogut,DAL,26,22.4,8.4,14.1,0.594,2.9,5.5,.349,218,2.2,4.2,.509,1.6,0.6,.732,6.2,9.9,0.63,1.3,4.9,.216,NA
201577,Robin Lopez,Robin,Lopez,CHI,79,28.1,6.4,14.0,0.457,3.7,2.7,.573,504,3.0,7.0,.435,2.5,0.5,.841,3.4,7.0,0.478,1.1,2.2,.332,NA
202683,Enes Kanter,Enes,Kanter,OKC,70,21.3,6.7,13.9,0.482,3.1,3.6,.461,469,2.7,6.6,.410,2.2,0.5,.819,4.0,7.3,0.547,0.9,3.1,.221,NA
203469,Cody Zeller,Cody,Zeller,CHA,60,28.0,6.6,13.9,0.47,2.7,3.8,.415,393,2.2,5.5,.405,1.6,0.7,.699,4.3,8.5,0.512,1.2,3.2,.269,NA
201933,Blake Griffin,Blake,Griffin,LAC,59,34.2,8.1,13.8,0.591,2.7,5.4,.333,480,1.8,4.1,.444,1.3,0.6,.694,6.3,9.6,0.654,1.4,4.9,.228,NA
