PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,TCH,FC_TCH,TOP,CL_TCH,EL_TCH,PTS,PTS_TCH,PTS_HCCT,TCH_TOT,X
201566,Russell Westbrook,Russell,Westbrook,OKC,80,34.8,100.2,86.5,8.9,1.3,1.9,31.9,0.319,0.369,8012,NA
201935,James Harden,James,Harden,HOU,80,36.4,99.4,80.7,8.9,0.4,0.8,29.1,0.293,0.361,7948,NA
2544,LeBron James,LeBron,James,CLE,74,37.8,88.7,72.3,6.1,2.6,4.1,26.4,0.298,0.365,6567,NA
202322,John Wall,John,Wall,WAS,78,36.1,88.3,81.7,8.8,0.2,0.5,23.1,0.262,0.283,6890,NA
202689,Kemba Walker,Kemba,Walker,CHA,79,34.7,88.1,78.4,8.0,0.5,0.5,23.2,0.263,0.296,6962,NA
202339,Eric Bledsoe,Eric,Bledsoe,PHX,64,33.0,87.8,74.2,6.7,0.8,1.2,21.3,0.242,0.287,5620,NA
203081,Damian Lillard,Damian,Lillard,POR,75,35.9,86.5,76.3,7.8,0.7,0.9,27.0,0.312,0.354,6489,NA
101108,Chris Paul,Chris,Paul,LAC,60,31.5,86.1,74.6,7.2,0.6,1.4,18.1,0.21,0.243,5165,NA
200768,Kyle Lowry,Kyle,Lowry,TOR,58,37.7,85.6,72.5,6.6,0.8,0.6,22.6,0.263,0.311,4966,NA
202738,Isaiah Thomas,Isaiah,Thomas,BOS,75,34.0,85.1,79.7,6.7,0.3,1.2,29.1,0.343,0.366,6382,NA
201144,Mike Conley,Mike,Conley,MEM,68,33.4,84.7,76.4,7.2,0.4,1.6,20.6,0.243,0.269,5757,NA
201609,Goran Dragic,Goran,Dragic,MIA,71,33.4,83.6,70.6,7.1,1.4,1.6,20.3,0.243,0.287,5936,NA
201937,Ricky Rubio,Ricky,Rubio,MIN,74,32.9,83.5,73.0,7.5,0.5,0.5,11.1,0.133,0.152,6181,NA
201950,Jrue Holiday,Jrue,Holiday,NOP,65,33.0,82.3,68.1,5.6,1.1,0.8,15.5,0.188,0.228,5350,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,SAC,55,34.4,81.9,64.6,3.2,4.5,10.5,27.8,0.339,0.43,4505,NA
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,MIL,79,35.5,81.7,66.6,4.9,3.7,3.8,23.1,0.282,0.346,6455,NA
203471,Dennis Schroder,Dennis,Schroder,ATL,78,31.5,81.2,74.9,6.7,0.5,0.5,18.0,0.222,0.241,6336,NA
204456,T.J. McConnell,T.J.,McConnell,PHI,80,26.5,80.9,70.4,5.4,1.1,0.5,6.9,0.085,0.098,6474,NA
201933,Blake Griffin,Blake,Griffin,LAC,60,34.1,80.3,57.0,3.0,3.5,7.0,21.7,0.27,0.38,4816,NA
202326,DeMarcus Cousins,DeMarcus,Cousins,TOTAL,72,34.2,79.6,61.1,3.1,4.3,8.8,27.0,0.339,0.441,5734,NA
101114,Deron Williams,Deron,Williams,DAL,39,29.2,79.4,72.4,6.7,0.8,1.2,12.8,0.161,0.177,3098,NA
