"","Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","teams","opp","date","pinn.odds","totals","opp_dfsnm","AvgPEV","Cnt","DKPos"
"1","PG/SG","James Harden",12600,"Hou@Phi 08:00PM ET",60.515,"HOU","Houston","Philadelphia",2017-01-27,-6.5,220,"PHI",-2.41325135135135,37,"PG"
"2","PG/SF","Giannis Antetokounmpo",10000,"Mil@Tor 07:30PM ET",50.102,"MIL","Milwaukee","Toronto",2017-01-27,5,212.5,"TOR",0.274984615384616,39,"PG"
"3","PG","John Wall",9900,"Was@Atl 08:00PM ET",48.756,"WAS","Washington","Atlanta",2017-01-27,3.5,214.5,"ATL",0.614032432432432,37,"PG"
"4","PG","Isaiah Thomas",9600,"Orl@Bos 07:30PM ET",44.213,"BOS","Boston","Orlando",2017-01-27,-8,215.5,"ORL",-0.232642857142857,35,"PG"
"5","PG","Kyle Lowry",8600,"Mil@Tor 07:30PM ET",43.156,"TOR","Toronto","Milwaukee",2017-01-27,-5,212.5,"MIL",-1.31932777777778,36,"PG"
"6","PG","Kyrie Irving",8300,"Bkn@Cle 07:30PM ET",39.987,"CLE","Cleveland","Brooklyn",2017-01-27,-15.5,227.5,"BKN",2.39819696969697,33,"PG"
"7","PG","Kemba Walker",7900,"Cha@NY 07:30PM ET",39.639,"CHA","Charlotte","New York",2017-01-27,-1,211.5,"NYK",-0.231326190476191,42,"PG"
"8","PG","Damian Lillard",7800,"Mem@Por 10:00PM ET",43.095,"POR","Portland","Memphis",2017-01-27,-1,205.5,"MEM",-0.0593366666666668,30,"PG"
"9","PG","Goran Dragic",7500,"Mia@Chi 08:00PM ET",35.461,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",2.49858857142857,35,"PG"
"10","PG","Jrue Holiday",7500,"SA@NO 08:00PM ET",33.121,"NOR","New Orleans","San Antonio",2017-01-27,6,210.5,"SAS",-1.30146666666667,39,"PG"
"11","PG","Mike Conley",7400,"Mem@Por 10:00PM ET",36.05,"MEM","Memphis","Portland",2017-01-27,1,205.5,"POR",0.154109090909091,33,"PG"
"12","PG","Jeff Teague",7200,"Sac@Ind 07:00PM ET",36.306,"IND","Indiana","Sacramento",2017-01-27,-4.5,210.5,"SAC",-1.09223235294118,34,"PG"
"13","PG/SG","C.J. McCollum",7100,"Mem@Por 10:00PM ET",37.186,"POR","Portland","Memphis",2017-01-27,-1,205.5,"MEM",-0.0593366666666668,30,"PG"
"14","PG","Elfrid Payton",7000,"Orl@Bos 07:30PM ET",29.016,"ORL","Orlando","Boston",2017-01-27,8,215.5,"BOS",3.18344074074074,27,"PG"
"15","PG","Dennis Schroder",6400,"Was@Atl 08:00PM ET",31.989,"ATL","Atlanta","Washington",2017-01-27,-3.5,214.5,"WAS",-1.33328611111111,36,"PG"
"16","PG/SG","Marcus Smart",5700,"Orl@Bos 07:30PM ET",24.994,"BOS","Boston","Orlando",2017-01-27,-8,215.5,"ORL",-0.232642857142857,35,"PG"
"17","PG","Derrick Rose",5700,"Cha@NY 07:30PM ET",30.673,"NYK","New York","Charlotte",2017-01-27,1,211.5,"CHA",-0.363322580645161,31,"PG"
"18","PG","Tyler Johnson",5300,"Mia@Chi 08:00PM ET",28.488,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",2.49858857142857,35,"PG"
"19","PG","T.J. McConnell",5300,"Hou@Phi 08:00PM ET",19.785,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",2.93986764705882,34,"PG"
"20","PG","Patrick Beverley",5200,"Hou@Phi 08:00PM ET",27.636,"HOU","Houston","Philadelphia",2017-01-27,-6.5,220,"PHI",-2.41325135135135,37,"PG"
