FDNames,GLnames,SameName,OrigFD
Aaron Brooks,Aaron Brooks,TRUE,Aaron Brooks
Aaron Gordon,Aaron Gordon,TRUE,Aaron Gordon
Aaron Harrison,Aaron Harrison,TRUE,Aaron Harrison
Adreian Payne,Adreian Payne,TRUE,Adreian Payne
A Hammons J.,AJ Hammons,FALSE,A Hammons J.
Al Horford,Al Horford,TRUE,Al Horford
Al Jefferson,Al Jefferson,TRUE,Al Jefferson
Al Aminu-Farouq,Al-Farouq Aminu,FALSE,Al Aminu-Farouq
Alan Anderson,Alan Anderson,TRUE,Alan Anderson
Alan Williams,Alan Williams,TRUE,Alan Williams
Alec Burks,Alec Burks,TRUE,Alec Burks
Alex Abrines,Alex Abrines,TRUE,Alex Abrines
Alex Len,Alex Len,TRUE,Alex Len
Alexis Ajinca,Alexis Ajinca,TRUE,Alexis Ajinca
Allen Crabbe,Allen Crabbe,TRUE,Allen Crabbe
Alonzo Gee,Alonzo Gee,TRUE,Alonzo Gee
Amir Johnson,Amir Johnson,TRUE,Amir Johnson
Anderson Varejao,Anderson Varejao,TRUE,Anderson Varejao
Andre Drummond,Andre Drummond,TRUE,Andre Drummond
Andre Iguodala,Andre Iguodala,TRUE,Andre Iguodala
Andre Roberson,Andre Roberson,TRUE,Andre Roberson
Andrew Bogut,Andrew Bogut,TRUE,Andrew Bogut
Andrew Harrison,Andrew Harrison,TRUE,Andrew Harrison
Andrew Nicholson,Andrew Nicholson,TRUE,Andrew Nicholson
Andrew Wiggins,Andrew Wiggins,TRUE,Andrew Wiggins
Anthony Bennett,Anthony Bennett,TRUE,Anthony Bennett
Anthony Brown,Anthony Brown,TRUE,Anthony Brown
Anthony Davis,Anthony Davis,TRUE,Anthony Davis
Anthony Morrow,Anthony Morrow,TRUE,Anthony Morrow
Anthony Tolliver,Anthony Tolliver,TRUE,Anthony Tolliver
Archie Goodwin,Archie Goodwin,TRUE,Archie Goodwin
Arinze Onuaku,Arinze Onuaku,TRUE,Arinze Onuaku
Aron Baynes,Aron Baynes,TRUE,Aron Baynes
Arron Afflalo,Arron Afflalo,TRUE,Arron Afflalo
Austin Rivers,Austin Rivers,TRUE,Austin Rivers
Avery Bradley,Avery Bradley,TRUE,Avery Bradley
Axel Toupane,Axel Toupane,TRUE,Axel Toupane
Ben Bentil,Ben Bentil,TRUE,Ben Bentil
Ben McLemore,Ben McLemore,TRUE,Ben McLemore
Beno Udrih,Beno Udrih,TRUE,Beno Udrih
Bismack Biyombo,Bismack Biyombo,TRUE,Bismack Biyombo
Blake Griffin,Blake Griffin,TRUE,Blake Griffin
Boban Marjanovic,Boban Marjanovic,TRUE,Boban Marjanovic
Bobby Brown,Bobby Brown,TRUE,Bobby Brown
Bobby Portis,Bobby Portis,TRUE,Bobby Portis
Bojan Bogdanovic,Bojan Bogdanovic,TRUE,Bojan Bogdanovic
Boris Diaw,Boris Diaw,TRUE,Boris Diaw
Bradley Beal,Bradley Beal,TRUE,Bradley Beal
Brandan Wright,Brandan Wright,TRUE,Brandan Wright
Brandon Bass,Brandon Bass,TRUE,Brandon Bass
Brandon Ingram,Brandon Ingram,TRUE,Brandon Ingram
Brandon Jennings,Brandon Jennings,TRUE,Brandon Jennings
