"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"1","San Antonio Stars","L.A. Sparks",2017-05-06,NA,-110,NA,-110,NA,NA,-110
"2","L.A. Sparks","San Antonio Stars",2017-05-06,NA,-110,NA,-110,NA,NA,-110
"3","Indiana Fever","Dallas Wings",2017-05-06,NA,-110,NA,-110,NA,NA,-110
"4","Dallas Wings","Indiana Fever",2017-05-06,NA,-110,NA,-110,NA,NA,-110
"5","Connecticut Sun","New York Liberty",2017-05-07,NA,-110,NA,-110,NA,NA,-110
"6","New York Liberty","Connecticut Sun",2017-05-07,NA,-110,NA,-110,NA,NA,-110
"7","Seattle Storm","Phoenix Mercury",2017-05-07,NA,-110,NA,-110,NA,NA,-110
"8","Phoenix Mercury","Seattle Storm",2017-05-07,NA,-110,NA,-110,NA,NA,-110
"9","San Antonio Stars","New York Liberty",2017-05-13,4,-105,7,-108,74.5,77,-107
"10","New York Liberty","San Antonio Stars",2017-05-13,-4,-115,-7,-112,74.5,77,-113
"11","Seattle Storm","L.A. Sparks",2017-05-13,3,-105,3.5,-104,73,74.5,-102
"12","L.A. Sparks","Seattle Storm",2017-05-13,-3,-115,-3.5,-116,73,74.5,-119
"13","Atlanta Dream","Connecticut Sun",2017-05-13,3.5,-105,2.5,-104,78,79,-115
"14","Connecticut Sun","Atlanta Dream",2017-05-13,-3.5,-115,-2.5,-116,78,79,-105
"15","San Antonio Stars","Washington Mystics",2017-05-14,9,-105,8.5,-105,78,78.5,-108
"16","Washington Mystics","San Antonio Stars",2017-05-14,-9,-115,-8.5,-115,78,78.5,-112
"17","Dallas Wings","Phoenix Mercury",2017-05-14,4.5,-110,4.5,-110,83,81,-132
"18","Phoenix Mercury","Dallas Wings",2017-05-14,-4.5,-110,-4.5,-110,83,81,109
"19","Indiana Fever","Seattle Storm",2017-05-14,2.5,-110,2.5,-112,80.5,80.5,-110
"20","Seattle Storm","Indiana Fever",2017-05-14,-2.5,-110,-2.5,-108,80.5,80.5,-110
"21","Chicago Sky","Minnesota Lynx",2017-05-14,9,-105,9,-112,81.5,79,-118
"22","Minnesota Lynx","Chicago Sky",2017-05-14,-9,-115,-9,-108,81.5,79,-103
"23","Indiana Fever","Phoenix Mercury",2017-05-17,2,-105,1.5,-115,78.5,77,-126
"24","Phoenix Mercury","Indiana Fever",2017-05-17,-2,-115,-1.5,-105,78.5,77,104
