"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"1","Washington Mystics","Connecticut Sun",2015-06-05,-3,-110,-3.5,-105,72,71.5,-105
"2","Connecticut Sun","Washington Mystics",2015-06-05,3,-110,3.5,-105,72,71.5,-105
"3","Atlanta Dream","New York Liberty",2015-06-05,-3,-115,-3.5,-102,74.5,73,-120
"4","New York Liberty","Atlanta Dream",2015-06-05,3,-105,3.5,-108,74.5,73,109
"5","Tulsa Shock","Minnesota Lynx",2015-06-05,6.5,-110,6,-115,81,81,101
"6","Minnesota Lynx","Tulsa Shock",2015-06-05,-6.5,-110,-6,104,81,81,-111
"7","Indiana Fever","Chicago Sky",2015-06-05,3.5,-105,3.5,-103,74,74.5,106
"8","Chicago Sky","Indiana Fever",2015-06-05,-3.5,-115,-3.5,-107,74,74.5,-117
"9","San Antonio Stars","Phoenix Mercury",2015-06-05,2.5,-105,2.5,-105,75.5,75,-105
"10","Phoenix Mercury","San Antonio Stars",2015-06-05,-2.5,-115,-2.5,-105,75.5,75,-105
"11","New York Liberty","Washington Mystics",2015-06-06,NA,-110,NA,-110,NA,NA,-110
"12","Washington Mystics","New York Liberty",2015-06-06,NA,-110,NA,-110,NA,NA,-110
"13","Minnesota Lynx","Indiana Fever",2015-06-06,NA,-110,NA,-110,NA,NA,-110
"14","Indiana Fever","Minnesota Lynx",2015-06-06,NA,-110,NA,-110,NA,NA,-110
"15","Chicago Sky","Tulsa Shock",2015-06-06,NA,-110,NA,-110,NA,NA,-110
"16","Tulsa Shock","Chicago Sky",2015-06-06,NA,-110,NA,-110,NA,NA,-110
"17","L.A. Sparks","Seattle Storm",2015-06-06,NA,-110,NA,-110,NA,NA,-110
"18","Seattle Storm","L.A. Sparks",2015-06-06,NA,-110,NA,-110,NA,NA,-110
"19","Connecticut Sun","Atlanta Dream",2015-06-07,NA,-110,NA,-110,NA,NA,-110
"20","Atlanta Dream","Connecticut Sun",2015-06-07,NA,-110,NA,-110,NA,NA,-110
