"","teams","opp","date","opener.odds","opener.juice","pinn.odds","pinn.juice","opener","totals","totalsjuice"
"1","San Antonio Stars","L.A. Sparks",2017-05-06,NA,-110,NA,-110,NA,NA,-110
"2","L.A. Sparks","San Antonio Stars",2017-05-06,NA,-110,NA,-110,NA,NA,-110
"3","Indiana Fever","Dallas Wings",2017-05-06,NA,-110,NA,-110,NA,NA,-110
"4","Dallas Wings","Indiana Fever",2017-05-06,NA,-110,NA,-110,NA,NA,-110
"5","Connecticut Sun","New York Liberty",2017-05-07,NA,-110,NA,-110,NA,NA,-110
"6","New York Liberty","Connecticut Sun",2017-05-07,NA,-110,NA,-110,NA,NA,-110
"7","Seattle Storm","Phoenix Mercury",2017-05-07,NA,-110,NA,-110,NA,NA,-110
"8","Phoenix Mercury","Seattle Storm",2017-05-07,NA,-110,NA,-110,NA,NA,-110
"9","San Antonio Stars","New York Liberty",2017-05-13,8.5,-110,13,-102,150.5,153,-106
"10","New York Liberty","San Antonio Stars",2017-05-13,-8.5,-110,-13,-110,150.5,153,-108
"11","Seattle Storm","L.A. Sparks",2017-05-13,7.5,-110,7.5,-105,145.5,151.5,-108
"12","L.A. Sparks","Seattle Storm",2017-05-13,-7.5,-110,-7.5,-107,145.5,151.5,-106
"13","Atlanta Dream","Connecticut Sun",2017-05-13,7,-110,5,-111,156,158,-109
"14","Connecticut Sun","Atlanta Dream",2017-05-13,-7,-110,-5,-101,156,158,-105
"15","San Antonio Stars","Washington Mystics",2017-05-14,16,-105,16.5,-107,154,154.5,-119
"16","Washington Mystics","San Antonio Stars",2017-05-14,-16,-115,-16.5,-105,154,154.5,104
"17","Dallas Wings","Phoenix Mercury",2017-05-14,8.5,-110,8,-105,165.5,161,-116
"18","Phoenix Mercury","Dallas Wings",2017-05-14,-8.5,-110,-8,-107,165.5,161,101
"19","Indiana Fever","Seattle Storm",2017-05-14,3.5,-110,5.5,-106,162.5,157.5,-109
"20","Seattle Storm","Indiana Fever",2017-05-14,-3.5,-110,-5.5,-106,162.5,157.5,-105
"21","Chicago Sky","Minnesota Lynx",2017-05-14,15,-110,16.5,-110,161,157.5,-109
"22","Minnesota Lynx","Chicago Sky",2017-05-14,-15,-110,-16.5,-102,161,157.5,-105
"23","Indiana Fever","Phoenix Mercury",2017-05-17,5,-110,3,-104,159,153.5,-107
"24","Phoenix Mercury","Indiana Fever",2017-05-17,-5,-110,-3,-108,159,153.5,-107
