"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"22047-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","56.126668294270836","15","12000","WAS@MIL","MIL","WAS","","","",""
"22047-9488","SF","LeBron","LeBron James","James","53.70624923706055","16","11600","CLE@DET","CLE","DET","","","",""
"22047-12362","C","DeMarcus","DeMarcus Cousins","Cousins","55.70000076293945","16","11500","OKC@NO","NO","OKC","","","",""
"22047-15755","PF","Anthony","Anthony Davis","Davis","50.833333333333336","15","10800","OKC@NO","NO","OKC","","","",""
"22047-49111","C","Joel","Joel Embiid","Embiid","44.9923095703125","13","10600","UTA@PHI","PHI","UTA","GTD","Knee","",""
"22047-66115","PF","Ben","Ben Simmons","Simmons","45.42666829427083","15","10300","UTA@PHI","PHI","UTA","","","",""
"22047-9642","PG","Russell","Russell Westbrook","Westbrook","45.473331705729166","15","9900","OKC@NO","OKC","NO","","","",""
"22047-12332","PG","John","John Wall","Wall","42.17143031529018","14","9500","WAS@MIL","WAS","MIL","GTD","Knee","",""
"22047-58462","C","Karl-Anthony","Karl-Anthony Towns","Towns","41.150001525878906","16","9500","MIN@CHA","MIN","CHA","","","",""
"22047-55062","C","Nikola","Nikola Jokic","Jokic","39.83124923706055","16","9300","DEN@SAC","DEN","SAC","","","",""
"22047-63122","PF","Kristaps","Kristaps Porzingis","Porzingis","43.73571341378348","14","9200","LAC@NY","NY","LAC","","","",""
"22047-20848","PG","Damian","Damian Lillard","Lillard","43.275001525878906","16","9200","POR@MEM","POR","MEM","","","",""
"22047-15557","C","Andre","Andre Drummond","Drummond","42.993751525878906","16","9100","CLE@DET","DET","CLE","","","",""
"22047-40203","C","Rudy","Rudy Gobert","Gobert","35.55833435058594","12","8800","UTA@PHI","UTA","PHI","O","Knee","",""
"22047-9560","PF","Blake","Blake Griffin","Griffin","40.68000081380208","15","8700","LAC@NY","LAC","NY","","","",""
"22047-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","39.95624923706055","16","8600","ATL@SA","SA","ATL","","","",""
"22047-12341","SF","Paul","Paul George","George","38.38666585286458","15","8500","OKC@NO","OKC","NO","","","",""
"22047-14498","PG","Kyrie","Kyrie Irving","Irving","36.962501525878906","16","8500","BOS@DAL","BOS","DAL","","","",""
"22047-14507","PG","Kemba","Kemba Walker","Walker","38.019999186197914","15","8300","MIN@CHA","CHA","MIN","","","",""
"22047-14528","SF","Jimmy","Jimmy Butler","Butler","34.43571472167969","14","8300","MIN@CHA","MIN","CHA","","","",""
"22047-9581","C","Marc","Marc Gasol","Gasol","39.91999918619792","15","8200","POR@MEM","MEM","POR","","","",""
"22047-14513","SF","Kawhi","Kawhi Leonard","Leonard","43.2972972972973","74","8000","ATL@SA","SA","ATL","O","Quadriceps","",""
"22047-15595","SG","Bradley","Bradley Beal","Beal","37.287498474121094","16","7900","WAS@MIL","WAS","MIL","","","",""
"22047-15684","SG","Victor","Victor Oladipo","Oladipo","37.38235294117647","17","7900","IND@ORL","IND","ORL","","","",""
"22047-14514","C","Nikola","Nikola Vucevic","Vucevic","33.6875","16","7600","IND@ORL","ORL","IND","","","",""
"22047-9561","C","DeAndre","DeAndre Jordan","Jordan","31.8","15","7600","LAC@NY","LAC","NY","","","",""
